Vehicle_ID,Engine_Temperature,Mileage,Oil_Pressure,Battery_Voltage,Vehicle_Speed,Failure_Status
V0001,84.2,10431,31.7,12.8,66,1
V0002,92.2,48803,44.3,12.9,78,1
V0003,82.9,38697,46.1,13.0,43,0
V0004,88.0,22093,33.5,12.3,61,1
V0005,72.6,18151,49.3,12.7,42,1
V0006,77.5,31663,39.4,11.6,58,0
V0007,76.0,34338,37.5,12.9,41,1
V0008,71.4,42055,41.9,12.2,77,1
V0009,92.9,47755,47.8,11.7,79,1
V0010,75.4,41442,49.0,12.6,42,1
V0011,92.1,29267,45.8,12.0,56,0
V0012,93.5,28545,35.5,11.5,61,0
V0013,76.5,35229,39.6,11.7,66,1
V0014,72.1,47742,30.3,11.8,68,1
V0015,78.7,31820,41.6,12.2,47,0
V0016,97.7,42816,42.5,11.6,44,0
V0017,71.7,36277,30.8,11.9,73,0
V0018,72.1,17476,35.8,12.7,65,0
V0019,94.2,20601,38.9,12.5,80,0
V0020,70.4,30334,46.2,11.9,71,0
V0021,86.2,31823,43.0,11.9,54,1
V0022,75.1,34693,31.4,11.6,48,0
V0023,84.2,34626,40.6,12.4,41,0
V0024,93.9,23567,48.6,12.9,73,1
V0025,80.2,36048,37.9,11.9,76,0
V0026,83.1,41970,34.0,12.4,40,0
V0027,97.4,13813,38.2,12.8,55,1
V0028,91.6,33762,32.3,11.7,59,1
V0029,77.7,47631,44.6,12.4,50,1
V0030,70.8,16973,42.6,12.9,80,1
V0031,90.3,47405,47.6,12.8,74,1
V0032,76.7,34515,36.2,11.6,73,1
V0033,79.6,42542,30.4,11.7,65,0
V0034,87.8,36890,40.1,11.7,53,0
V0035,86.2,39236,32.6,12.3,79,1
V0036,70.0,34487,36.6,12.1,44,0
V0037,73.7,31889,40.9,12.7,75,1
V0038,99.3,25196,47.7,12.3,58,0
V0039,71.0,22680,40.4,11.8,59,0
V0040,86.9,40566,46.5,11.7,58,1
V0041,98.8,48061,46.3,12.5,67,0
V0042,81.9,18452,33.2,12.3,76,0
V0043,86.6,34700,46.4,12.5,46,1
V0044,77.4,13511,35.8,12.0,51,0
V0045,96.2,19673,37.8,12.5,51,1
V0046,86.6,41674,42.9,12.7,73,1
V0047,87.8,20200,47.2,12.1,51,0
V0048,89.8,13662,43.6,12.5,48,1
V0049,76.2,40676,31.0,12.6,64,0
V0050,87.6,26981,30.7,12.0,74,0
V0051,90.5,40550,44.4,12.6,71,1
V0052,92.5,26135,42.2,11.6,45,0
V0053,82.5,33649,46.6,12.5,65,0
V0054,95.5,25950,30.2,12.8,80,1
V0055,85.7,32871,35.2,12.5,50,0
V0056,84.3,11304,38.4,12.8,41,1
V0057,84.0,34715,31.1,12.3,77,1
V0058,96.2,16981,36.2,12.4,46,0
V0059,79.2,39466,30.4,11.7,57,1
V0060,77.6,27895,45.8,11.7,41,1
V0061,70.2,13886,48.0,11.6,57,1
V0062,98.4,16542,44.0,12.2,72,1
V0063,81.5,33832,35.7,12.9,60,1
V0064,85.8,48784,34.0,12.5,59,1
V0065,90.1,23587,46.9,12.0,65,1
V0066,73.1,23638,33.6,11.7,44,1
V0067,98.8,45984,40.9,12.8,52,0
V0068,77.7,28480,30.1,12.7,41,1
V0069,73.8,13651,42.7,13.0,79,1
V0070,78.4,15275,35.5,13.0,50,0
V0071,76.1,11350,38.4,11.9,61,1
V0072,99.1,41439,34.7,12.7,55,0
V0073,82.7,43821,38.9,12.2,80,0
V0074,71.6,26331,35.8,12.5,52,0
V0075,72.3,47895,46.1,12.0,48,0
V0076,93.4,22817,44.4,12.5,63,1
V0077,89.3,43795,42.4,11.9,74,1
V0078,71.3,37793,32.5,12.6,56,0
V0079,99.9,41055,48.9,12.3,69,0
V0080,82.3,25946,30.9,11.8,63,1
V0081,75.4,30722,41.9,12.3,79,0
V0082,82.6,42706,45.8,11.7,65,1
V0083,76.9,26051,49.2,12.4,75,1
V0084,71.8,10547,48.9,12.9,66,1
V0085,99.6,25831,48.3,12.9,66,1
V0086,95.4,41245,46.3,11.9,61,0
V0087,86.7,38841,31.2,12.8,75,0
V0088,95.3,38612,32.5,12.3,49,1
V0089,96.8,49295,35.4,11.9,51,1
V0090,78.5,34184,46.7,12.3,54,1
V0091,89.5,27314,30.1,12.8,40,1
V0092,73.2,46875,42.4,11.6,52,1
V0093,94.4,13060,31.0,12.8,45,0
V0094,78.1,25202,30.2,11.9,47,1
V0095,78.9,25637,44.4,11.9,64,1
V0096,80.1,13034,42.3,12.7,60,1
V0097,88.2,37743,43.7,11.8,69,1
V0098,74.1,22923,32.5,12.0,42,0
V0099,85.7,46934,33.3,12.9,69,0
V0100,81.4,38110,41.7,11.8,76,1
V0101,89.3,15612,45.7,12.4,51,1
V0102,95.2,38242,46.1,12.1,63,1
V0103,93.0,20306,46.6,12.9,49,1
V0104,88.9,42135,45.2,12.4,80,1
V0105,98.8,38231,47.5,12.5,42,0
V0106,70.8,12526,41.2,12.8,59,0
V0107,99.3,15642,48.2,12.9,41,1
V0108,83.4,31610,32.5,12.9,71,0
V0109,89.7,24273,30.3,12.6,76,0
V0110,86.2,32054,31.5,12.5,45,1
V0111,80.6,29636,31.7,11.8,73,0
V0112,93.8,31027,40.3,12.9,67,0
V0113,94.2,27301,44.7,12.6,50,1
V0114,88.7,13649,32.7,12.8,63,1
V0115,92.5,34948,38.1,12.4,43,1
V0116,88.5,26281,43.8,12.1,54,1
V0117,99.6,10428,42.7,11.9,66,0
V0118,80.0,38815,32.0,12.3,66,1
V0119,97.4,10705,46.6,12.9,45,0
V0120,91.8,24387,31.8,12.5,64,1
V0121,83.9,29990,46.6,12.8,62,0
V0122,87.1,45665,44.2,12.8,64,0
V0123,97.7,12411,30.4,11.6,45,0
V0124,93.5,44408,33.1,12.0,44,0
V0125,93.4,39660,46.3,11.7,43,1
V0126,82.5,35601,32.0,12.4,40,1
V0127,92.4,40008,42.0,11.6,54,0
V0128,97.3,36401,44.0,12.4,64,0
V0129,99.1,41057,41.0,12.5,76,1
V0130,74.8,28803,30.1,12.7,49,1
V0131,85.0,34844,44.8,11.7,62,0
V0132,74.3,25715,40.1,12.2,65,0
V0133,81.6,32338,31.9,11.9,64,0
V0134,88.8,20011,32.1,11.5,45,1
V0135,84.1,25473,40.5,12.1,53,0
V0136,85.7,26655,43.4,12.3,54,0
V0137,78.1,18954,35.5,12.0,46,1
V0138,73.7,22496,37.3,11.6,66,0
V0139,86.5,47073,35.6,11.7,55,0
V0140,90.1,25964,38.2,12.8,68,1
V0141,72.2,46166,39.1,12.3,76,1
V0142,74.9,45602,35.6,12.1,48,0
V0143,75.7,42242,47.2,12.5,66,1
V0144,79.0,26560,42.6,13.0,72,0
V0145,78.5,24352,46.4,11.6,47,1
V0146,88.8,31861,30.1,12.0,58,0
V0147,70.6,16997,42.7,12.6,58,1
V0148,83.8,33293,39.0,12.1,57,0
V0149,73.2,43626,38.6,11.7,73,0
V0150,97.5,24510,39.3,12.2,49,1
V0151,74.4,22310,35.8,13.0,68,0
V0152,85.8,41424,30.1,11.6,43,0
V0153,84.2,14884,34.3,12.5,67,1
V0154,92.5,24352,45.9,12.6,43,1
V0155,95.2,23760,36.4,12.5,48,1
V0156,86.9,43193,34.9,11.8,67,1
V0157,92.0,37243,39.6,12.7,48,1
V0158,90.7,38273,38.0,11.8,47,0
V0159,81.7,29662,35.5,12.6,59,1
V0160,88.4,33269,35.7,11.5,75,0
V0161,89.2,49618,39.5,11.9,64,0
V0162,70.9,46738,36.5,12.2,63,0
V0163,83.0,19503,31.9,12.1,59,1
V0164,75.0,43370,45.5,12.3,74,0
V0165,95.8,44955,49.2,11.7,48,0
V0166,72.9,42776,31.9,12.8,57,1
V0167,98.9,28294,41.2,12.0,46,1
V0168,76.1,26871,42.4,12.1,69,1
V0169,81.0,25761,46.8,12.3,80,1
V0170,92.7,45048,41.4,12.0,71,1
V0171,74.6,48017,38.8,11.7,65,1
V0172,91.7,19154,45.0,12.0,41,1
V0173,85.2,34221,47.2,11.8,51,0
V0174,84.8,22953,46.5,11.6,65,1
V0175,94.7,48908,46.3,11.8,61,0
V0176,93.2,25129,33.2,11.5,43,0
V0177,93.0,39986,48.7,12.0,46,1
V0178,82.1,28735,32.9,12.6,53,0
V0179,81.2,36135,31.9,12.4,73,1
V0180,86.5,29674,48.6,11.6,67,1
V0181,93.1,34175,49.7,12.3,75,0
V0182,86.5,14390,48.2,12.0,48,1
V0183,84.0,46410,36.2,12.3,51,1
V0184,99.9,10704,39.3,12.5,52,1
V0185,89.3,35479,38.4,12.3,43,0
V0186,90.4,19101,38.0,12.2,64,0
V0187,77.4,33586,41.7,12.4,67,0
V0188,80.5,33703,36.0,12.1,43,0
V0189,85.7,29276,31.0,12.8,45,1
V0190,99.7,38574,30.7,11.8,52,1
V0191,72.5,19807,37.6,12.6,48,0
V0192,83.5,22231,38.4,12.0,43,1
V0193,99.2,45689,31.4,12.0,70,1
V0194,93.6,13531,47.4,11.5,80,0
V0195,78.5,36097,36.4,13.0,77,0
